abandonment	abandon
decorativeness	decorate
decortication	decorticate
decoy	decoy
decrease	decrease
decrement	decree	decrement
decrepitation	decrepitate
decrescendo	decrescendo
decrial	decry
decryption	decrypt
decussation	decussate
dedication	dedicate
deductible	deduce	deduct
deeds	deed
deepening	deepen
deepfreeze	deepfreeze
defacement	deface
defalcation	defalcate
defamation	defame
defaulter	default
defeasance	defeat
defecation	defecate
defectiveness	defect
defensibility	defend
deferment	defer
defilement	defile
definiteness	define
deflagration	deflagrate
deflation	deflate
deflection	deflect
deflocculation	deflocculate
defoliation	defoliate
deforcement	deforce
deforestation	deforest
deformation	deform
defraudation	defraud
defrayment	defray
defroster	defrost
defusing	defuse
defiance	defy
degaussing	degauss
degemination	degeminate
degeneration	degenerate
deglutination	deglutinate
degradation	degrade
degustation	degust	degustate
dehiscence	dehisce
dehumanization	dehumanise	dehumanize
dehumidification	dehumidify
dehydration	dehydrate
dehydrogenization	dehydrogenate
dehypnotization	dehypnotise	dehypnotize
deicer	deice
deification	deify
dejection	deject
delamination	delaminate
delation	delate
delay	delay
delegation	delegate
deletion	delete
deli	delie
deliberateness	deliberate
delight	delight
delimitation	delimit	delimitate
delineation	delineate
deliquescence	deliquesce
deliverance	deliver
delocalization	delocalise	delocalize
delusion	delude
deluge	deluge
demagnetization	demagnetise	demagnetize
demander	demand
demarcation	demarcate
demeanor	demean
demerit	demerit
demilitarization	demilitarise	demilitarize
demise	demise
demister	demist
demission	demit
demo	demo
demobilization	demobilise	demobilize
democratization	democratise	democratize
demodulation	demodulate
demolishment	demolish
demonization	demonize
demonetization	demonetise	demonetize
demonstrativeness	demonstrate
demoralization	demoralise	demoralize
demotion	demote
demulsification	demulsify
demureness	demur
demythologization	demythologise	demythologize
denationalization	denationalise	denationalize
denaturalization	denature	denaturalise	denaturalize
denazification	denazify
denicotinization	denicotinize
denigration	denigrate
denitration	denitrate
denitrification	denitrify
denomination	denominate
denotement	denote
denunciation	denounce	denunciate
dentist	dent
denudation	denude	denudate
denier	deny
deodorization	deodorise	deodorize
deoxidization	deoxidise	deoxidize
deoxygenation	deoxygenate
department	depart
departmentalization	departmentalise	departmentalize
dependableness	depend
depersonalization	depersonalise	depersonalize
depiction	depict	depicture
depilation	depilate
depletion	deplete
deployment	deploy
deplumation	deplume	deplumate
depolarization	depolarise	depolarize
deponent	depone
depopulation	depopulate
deportation	deport
deposition	depose	deposit
depravation	deprave
deprecation	deprecate
depreciation	depreciate
depredation	depredate
depressive	depress
deprivation	deprive
depuration	depurate
deputization	depute	deputize
deputisation	deputise
deracination	deracinate
darraignment	deraign	darraign
derailment	derail
derangement	derange
derate	derat	derate
deregulation	deregulate
derision	deride
derivative	derive
derogation	derogate
desalinization	desalinate	desalinize
descant	descant
descendants	descend
description	describe
desecration	desecrate
desegregation	desegregate
desensitization	desensitise	desensitize
desertion	desert
desexualization	desexualise	desexualize
desiccation	desiccate
desideration	desiderate
designation	design	designate
desirableness	desire
desistence	desist
desolation	desolate
desorption	desorb
desperation	despair
despatch	despatch
despicableness	despise
despoliation	despoil
despondency	despond
despotism	despot
despumation	despumate
desquamation	desquamate
dessication	dessicate
desterilization	desterilize
destination	destine
destructiveness	destroy	destruct
desulfurization	desulfurize
desulphurization	desulphurise	desulphurize
desynchronization	desynchronize
detachment	detach
detailing	detail
detention	detain
detective	detect
deterrence	deter
deterioration	deteriorate
determinateness	determine	determinate
detestation	detest
dethronement	dethrone
detonation	detonate
detour	detour
detoxification	detoxify	detoxicate
detraction	detract
detrainment	detrain
detribalization	detribalise	detribalize
detrusion	detrude
detruncation	detruncate
deuteration	deuterate
devaluation	devalue	devaluate
devastation	devastate
development	develop
divestiture	devest	divest
deviation	deviate
devising	devise
devilment	devil	devilize
devitalization	devitalise	devitalize
devitrification	devitrify
devocalization	devocalize
devolvement	devolve
devotement	devote
devourer	devour
diabolization	diabolise	diabolize
diagnostics	diagnose
diagonalization	diagonalize
diagramming	diagram
dial	dial
dialog	dialog
dialogue	dialogue
dialysation	dialyse
dialyzer	dialyze
diaper	diaper
diazotization	diazotise	diazotize
dibble	dibble
diction	dice
dichotomisation	dichotomise
dichotomization	dichotomize
dictation	dictate
die-casting	die-cast
dietetics	diet
differentiation	differ	differentiate
diffraction	diffract
diffuseness	diffuse
diggings	dig
digestibleness	digest
digitalization	digitate	digitize	digitise	digitalise	digitalize
dignification	dignify
digression	digress
dike	dike
dilapidation	dilapidate
dilatation	dilate
dillydallier	dillydally
dilution	dilute
dimness	dim
dimension	dimension
dimidiation	dimidiate
diminutiveness	diminish
dimple	dimple
dining	din	dine
ding	ding	dinge
dip	dip
diphthongization	diphthongise	diphthongize
directorate	direct
dirtiness	dirty
disablement	disable
disabusal	disabuse
disaccord	disaccord
disadvantage	disadvantage
disaffection	disaffect
disaffiliation	disaffiliate
disaffirmation	disaffirm
disafforestment	disafforest
disagreeableness	disagree
disallowance	disallow
disannulment	disannul
disappearance	disappear
disappointment	disappoint
disapproval	disapprove
disarmament	disarm
disarrangement	disarrange
disarray	disarray
disarticulation	disarticulate
disassembly	disassemble
disavowal	disavow
disbandment	disband
disbarment	disbar
disbeliever	disbelieve
disburdenment	disburden
disbursement	disburse
discarding	discard
discernability	discern
discharge	discharge
discipline	discipline
disclamation	disclaim
disclosure	disclose
discoloration	discolor	discolorize
discolouration	discolour
discombobulation	discombobulate
discomfiture	discomfit
discommendation	discommend
discomposure	discompose
disconcertment	disconcert
disconnection	disconnect
disconsideration	disconsider
disconsolateness	disconsole
discontentment	discontent
discontinuation	discontinue
discordance	discord
discount	discount
discouragement	discourage
discourse	discourse
discoverer	discover
discredit	discredit
discrimination	discriminate
discussion	discuss
disdainfulness	disdain
disembarkation	disembark
disembarrassment	disembarrass
disembodiment	disembody
disemboguement	disembogue
disembowelment	disembowel
disenablement	disenable
disenchantment	disenchant
disencumberment	disencumber
disendowment	disendow
disenfranchisement	disenfranchise
disengagement	disengage
disentailment	disentail
disentanglement	disentangle
disenthrallment	disenthral	disenthrall
disestablishment	disestablish
disesteem	disesteem
disfavor	disfavor
disfavour	disfavour
disfeaturement	disfeature
disfigurement	disfigure
disforestation	disforest
disfranchisement	disfranchise
disgorgement	disgorge
disgracefulness	disgrace
disgruntlement	disgruntle
disguise	disguise
disgust	disgust
dishful	dish
disheartenment	dishearten
dishevelment	dishevel
dishonorableness	dishonor
dishonourableness	dishonour
disillusionment	disillusion
disinclination	disincline
disinfection	disinfect
disinfestation	disinfest
disinheritance	disinherit
disintegration	disintegrate
disinterment	disinter
disinterest	disinterest
disjunction	disjoin
disjoint	disjoint
disk	disk
dislike	dislike
dislocation	dislocate
dislodgement	dislodge
dismantlement	dismantle
dismastment	dismast
dismay	dismay
dismemberment	dismember
dismission	dismiss
dismount	dismount
disobedience	disobey
disobligation	disoblige
disorder	disorder
disorganization	disorganize
disorientation	disorient	disorientate
disownment	disown
disparagement	disparage
dispatcher	dispatch
dispensableness	dispense
dispersion	disperse
displacement	displace
display	display
displeasure	displease
disposition	dispose
dispossession	dispossess
disproving	disprove
disproportionment	disproportion
disputation	dispute
disqualification	disqualify
disquiet	disquiet
disregard	disregard
disrelish	disrelish
disremembrance	disremember
disrepair	disrepair
disrespect	disrespect
disrobement	disrobe
disruption	disrupt
dissatisfaction	dissatisfy
dissection	dissect
dissemblance	dissemble
dissemination	disseminate
dissidence	dissent
dissertation	dissertate
disservice	disserve
disseveration	dissever
dissimilation	dissimilate
dissimulation	dissimulate
dissipation	dissipate
disassociation	dissociate	disassociate
dissoluteness	dissolve
dissuasion	dissuade
distaff	distaff
distance	distance
distemper	distemper
distention	distend
distillation	distil	distill
distinctiveness	distinguish
distortion	distort
distraction	distract
distrainment	distrain
distressfulness	distress
distribution	distribute
district	district
distrustfulness	distrust
disturbance	disturb
disunion	disunite
disuse	disuse
ditch	ditch
dithering	dither
ditto	ditto
divagation	divagate
divarication	divaricate
dive-bombing	dive-bomb
diving	dive
divergency	diverge
diversification	diversify
diverseness	divert	diverse
divisibility	divide
divinization	divine	divinise	divinize
divorcement	divorce
divulgement	divulge	divulgate
divvy	divvy
dizenment	dizen
dizziness	dizzy
dj	dj
donee	do	don
docking	dock
docket	docket
doctorate	doctor
documentation	document
dodderer	dodder
dodging	dodge
dog	dog
dogmatization	dogmatise	dogmatize
dogsled	dogsled
dolefulness	dole
doll	doll
domestication	domesticate	domesticize
domicile	domicile
domiciliation	domiciliate
domination	dominate	domineer
donation	donate
dong	dong
doodle	doodle
doomed	doom
dope	dope
dose	dose
dot	dot
double-check	double-check
double-crossing	double-cross
double-dealing	double-date
double-spacing	double-space
doubling	double
doubtfulness	doubt
douche	douche
dousing	douse
dovetail	dovetail
dower	dower
downer	down
downgrade	downgrade
download	download
downsizing	downsize
dowsing	dowse
dozer	doze
drafting	draft
dragee	drag
dragoonage	dragoon
drainage	drain
dramatization	dramatize
dramatisation	dramatise
drapery	drape
draughts	draught
drawing	draw
drawler	drawl
dreadfulness	dread
dreaming	dream
dredger	dredge
drenching	drench
dressing	dress
dribbling	dribble
drifting	drift
drilling	drill
drunkenness	drink	drunken
drippings	drip
driving	drive
driveller	drivel
drizzle	drizzle
droning	drone
drool	drool
droop	droop
droppings	drop
dropkicker	dropkick
drowsiness	drowse
drubbing	drub
drudgery	drudge
drugging	drug
drumming	drum
dry-cleaning	dry-clean
dryness	dry
dubbing	dub
dubbin	dubbin
ducking	duck
duelist	duel
dulcification	dulcify
dullness	dull
dummy	dummy
dumping	dump
dun	dun
dung	dung
dunkers	dunk
dupery	dupe
duplicability	duplicate
dustman	dust
dwarfism	dwarf
dwelling	dwell
dwindling	dwindle
dying	die	dying
dyeing	dye
dyke	dyke
dynamism	dynamize
dynamitist	dynamite
e-mail	e-mail
eaglet	eagle
earmark	earmark
earnings	earn
earthman	earth
easement	ease
edibleness	eat
ebb	ebb
ebonization	ebonize
echo	echo
ecliptic	eclipse
economization	economise	economize
eddy	eddy
edginess	edge
edification	edify
edition	edit
editorialization	editorialise	editorialize
education	educe	educate
edulcoration	edulcorate
effacement	efface
effectiveness	effect
effectualness	effectuate
effeminateness	effeminate	effeminize
effervescence	effervesce
efflorescence	effloresce
effusiveness	effuse
egestion	egest
eggs	egg
egression	egress
ejaculation	ejaculate
ejection	eject
elaborateness	elaborate
elastication	elasticate	elasticise	elasticize
elation	elate
elbowing	elbow
electorate	elect
electrification	electrify
electrocution	electrocute
electrodeposition	electrodeposit
electrolysation	electrolyse
electorlysis	electrolyze
electroplate	electroplate
elegization	elegize
elevation	elevate
elicitation	elicit
elision	elide
elimination	eliminate
eloignment	eloin	eloign
elongation	elongate
elopement	elope
elucidation	elucidate
elusiveness	elude
elution	elute
elutriation	elutriate
emaciation	emaciate
email	email
emanation	emanate
emancipation	emancipate
emasculation	emasculate
embalmment	embalm
embankment	embank
embargo	embargo
embarkation	embark
embarrassment	embarrass
embattlement	embattle
embayment	embay
imbedment	embed	imbed
embellishment	embellish
embezzlement	embezzle
embitterment	embitter
emblazement	emblaze
emblazonment	emblazon
emblematization	emblematize
embodiment	embody
emboldenment	embold	embolden
embossment	emboss
embowment	embow	embower
embowelment	embowel
embracement	embrace
embranglement	embrangle
embrocation	embrocate
embroiderer	embroider
embroilment	embroil
embruement	embrue
emcee	emcee
emendation	emend	emendate
emergency	emerge
emigration	emigrate
emission	emit
emotion	emote
emotionalization	emotionalise	emotionalize
empalement	empale
empanelment	empanel
emphasizing	emphasize
emplacement	emplace
employment	employ
empoisonment	empoison
empoverishment	empoverish
empowerment	empower
emptiness	empty
empurpled	empurple
emulation	emulate
emulsification	emulsify
emulsion	emulsion
enablement	enable
enactment	enact
enamel	enamel
encampment	encamp
incapsulation	encapsulate	incapsulate
incasement	encase	incase
encashment	encash
enchainment	enchain
enchantress	enchant
encipherment	encipher
encirclement	encircle
enclosure	enclose
encodement	encode
encompassment	encompass
encore	encore
encounter	encounter
encouragement	encourage
encroachment	encroach
incrustation	encrust	incrust
encryption	encrypt
incumbrance	encumber	incumber
encystation	encyst
ending	end
endamagement	endamage
endangerment	endanger
endearment	endear
endeavor	endeavor
endeavour	endeavour
endorsement	endorse
endowment	endow
endurance	endure
energization	energize
enervation	enervate
enfacement	enface
enfeeblement	enfeeble
enfeoffment	enfeoff
enfoldment	enfold
enforcement	enforce
enfranchisement	enfranchise
engagement	engage
engenderment	engender
engineering	engineer
engorgement	engorge
ingraftation	engraft	ingraft
engrailment	engrail
engraving	engrave
engrossment	engross
engulfment	engulf
enhancement	enhance
enjoinment	enjoin
enjoyableness	enjoy
enlacement	enlace
enlargement	enlarge
enlistment	enlist
enmeshment	enmesh
enmity	enmity
ennoblement	ennoble
enouncement	enounce
enplanement	enplane
enquirer	enquire
enragement	enrage
enrapturement	enrapture
enrichment	enrich
enrobement	enrobe
enrollment	enrol	enroll
enshrinement	enshrine	inshrine
ensilage	ensile
enslavement	enslave
ensnarement	ensnare
enswathement	enswathe
entailment	entail
entanglement	entangle
entrancement	enter	ingress	entrance
entertainment	entertain
enthrallment	enthral	enthrall
enthronization	enthrone
enthusiasm	enthuse
enticement	entice
entitlement	entitle
entoilment	entoil
entombment	entomb
entrainment	entrain
entrapment	entrap
intreatment	entreat	intreat
entrenchment	entrench
intrustment	entrust	intrust
entwintwinement	entwine	entwintwine
enucleation	enucleate
enumeration	enumerate
enunciation	enunciate
enurement	enure
envelopment	envelop	envelope
environment	environ
envisagement	envisage
envisioning	envision
envy	envy
epigrammatization	epigrammatize
epitomization	epitomize
epitomisation	epitomise
epoxy	epoxy
equalization	equal	equalise	equalize
equatability	equate
equilibration	equilibrate	equilibrize
equipping	equip
equipoise	equipoise
equiponderation	equiponderate
equivocalness	equivocate
eradiation	eradiate
eradication	eradicate
erasure	erase
erectness	erect
erosion	erode
erratum	err
eructation	eruct	eructate
eruption	erupt
escalade	escalade
escalation	escalate
escapement	escape
escarpment	escarp
escheatage	escheat
eschewal	eschew
escort	escort
espousal	espouse
espial	espy
esquire	esquire
essayist	essay
establishment	establish
esteem	esteem
esterification	esterify
estimation	estimate
estivation	estivate
estoppage	estop
estrangement	estrange
etching	etch
eternalization	eternize	eternalize
etherealization	etherise	etherize	etherealise	etherealize
etherification	etherify
ethylation	ethylate
etiolation	etiolate
etymologization	etymologize
euchre	euchre
euhemerization	euhemerize
eulogization	eulogize
euphemization	euphemize
euphonization	euphonize
europeanization	europeanize
europeanisation	europeanise
evacuation	evacuate
evasiveness	evade
evagination	evaginate
evaluation	evaluate
evanescence	evanesce
evangelization	evangelise	evangelize
evanishment	evanish
evaporation	evaporate
evenness	even
eventuation	eventuate
everting	evert
eviction	evict
evidence	evidence
evisceration	eviscerate
evocation	evoke
evolvement	evolve
exacerbation	exacerbate
exactitude	exact
exaggeration	exaggerate
exaltation	exalt
examination	examine
example	example
exasperation	exasperate
excavation	excavate
excessiveness	exceed
excellence	excel	excell
exception	except
excerption	excerpt
exchangeability	exchange
exciseman	excide	excise
excitableness	excite
exclamation	exclaim
exclusiveness	exclude
excogitation	excogitate
excommunication	excommunicate
excoriation	excoriate
excretion	excrete
excruciation	excruciate
exculpation	exculpate
excuse	excuse
execration	execrate
executioner	execute
exemplification	exemplify
exemption	exempt
exenteration	exenterate
exercitation	exercise
exertion	exert
exfoliation	exfoliate
exhalation	exhale
exhaustion	exhaust
exhibition	exhibit
exhilaration	exhilarate
exhortation	exhort
exhumation	exhume
exile	exile
existentialism	exist	existing
exit	exit
exoneration	exonerate
exorciser	exorcise	exorcize
expansiveness	expand
expatiation	expatiate
expatriation	expatriate
expectation	expect
expectoration	expectorate
expeditiousness	expedite	expedient
expulsion	expel	expell
expensiveness	expend
experimentation	experience	experiment
expertness	expertize
expiation	expiate
expiration	expire
explanation	explain
explantation	explant
explication	explicate
explosive	explode
exploitation	exploit
exploration	explore
exponentiation	exponentiate
exportation	export
exposition	expose	exposit
expostulation	expostulate
expounding	expound
expressiveness	express
expropriation	expropriate
expunction	expunge
expurgation	expurgate
exsection	exsect
exsertion	exsert
exsiccation	exsiccate
extemporization	extemporise	extemporize	extemporate
extensibility	extend
extent	extent
extenuation	extenuate
extermination	exterminate
exteriorization	exteriorise	exteriorize	externalise	externalize
extinction	extinct
extinguishment	extinguish
extirpation	extirpate
extolment	extol	extoll
extortioner	extort
extraction	extract
extradition	extradite
extrapolation	extrapolate
extravagation	extravagate
extravasation	extravasate
extrication	extricate
extrusion	extrude
exuberation	exuberate
exudation	exude	exudate
exultation	exult
exuviation	exuviate
eyeful	eye
eyeball	eyeball
fabrication	fabricate
faction	face
facilitation	facilitate
facsimile	facsimile
factorization	factor	factorise	factorize
fade-in	fade-in
fade-out	fade-out
fading	fade
fag	fag
failure	fail
faintness	faint
fairness	fair
fakeer	fake
falconry	falcon
falling	fall
falsification	falsify
faltering	falter
fame	fame
familiarization	familiarise	familiarize
famishment	famish
fanion	fan
fanaticization	fanaticize
fancier	fancy
fantasist	fantasize
farness	fare
faradization	faradise	faradize
farming	farm
farrowing	farrow
farting	fart
fascination	fascinate
fashioning	fashion
fastness	fast
fastening	fasten
fatness	fat
fates	fate
father	father
fathom	fathom
fatigues	fatigue
fault	fault
favorableness	favor
favourableness	favour
fawn	fawn
fax	fax
fearfulness	fear
feasting	feast
feathering	feather
featherbed	featherbed
feature	feature
fecundation	fecundate
federalization	federate	federalise	federalize
fee	fee
feeding	feed
feelings	feel
feigning	feign
feint	feint
felicitousness	felicitate
fellation	fell	fellate
felt	felt
feminization	feminize	feminise
fencing	fence
fender	fend
feoffment	feoff
fermentation	ferment
ferret	ferret
ferryman	ferry
fertilization	fertilize
fertilisation	fertilise
festering	fester
festoon	festoon
fetch	fetch
fetor	fete
fetter	fetter
feud	feud
feudalization	feudalise	feudalize
fever	fever
fibbing	fib
fictionalization	fictionalise	fictionalize
fiddler	fiddle
fidget	fidget
fielding	field
fighting	fight
figuration	figure
filing	file
filet	filet
filiation	filiate
filibusterer	filibuster
filling	fill
fillet	fillet
fillip	fillip
filmmaking	film
filtration	filter	filtrate
fins	fin
financing	finance	financier
finding	find
finalization	fine	finalize
finesse	finesse
fingering	finger
fingerprinting	fingerprint
finishing	finish
fink	fink
fieriness	fire
firebomb	firebomb
firmness	firm
first-footing	first-foot
fishing	fish
fissure	fissure
fistfight	fistfight
fitfulness	fit
fixative	fix	fixate
fizz	fizz
flagship	flag
flagellation	flagellate
flail	flail
flake	flake
flam	flam
flammability	flame
flameout	flameout
flank	flank
flannels	flannel
flapping	flap
flare	flare
flashing	flash
flatterer	flatter
flaunting	flaunt
flavouring	flavor	flavour
flaw	flaw
fleck	fleck
fledgling	fledge
fleece	fleece
fleetness	fleet
flesh	flesh
flection	flex
flicker	flick	flicker
flinch	flinch
fling	fling
flip-flop	flip-flop
flip	flip
flirtation	flirt
flit	flit
floatation	float
flocculation	flocculate
flock	flock
flogging	flog
flooding	flood
floodlight	floodlight
flooring	floor
flopping	flop
floss	floss
flounce	flounce
flounder	flounder
flour	flour
flourish	flourish
flowing	flow
flowering	flower
flub	flub
fluctuation	fluctuate
fluff	fluff
fluidization	fluidize
fluorescence	fluoresce
fluoridization	fluoridate	fluoridize
fluorination	fluorinate
flurry	flurry
flush	flush
fluster	fluster
flautist	flute
fluttering	flutter
flux	flux
fly-fishing	fly-fish
flying	fly	flee	flight
foal	foal
foam	foam
fob	fob
focalization	focalize
focus	focus
fodder	fodder
fog	fog
foiling	foil
folding	fold
foliation	foliate
following	follow
fomentation	foment
fondling	fondle
fool	fool
footman	foot
footnote	footnote
foozle	foozle
foraging	forage
foray	foray
forbearance	forbear
forbiddance	forbid
forcefulness	force
fording	ford
foreage	foreage
forearm	forearm
forebear	forebear
foreboding	forebode
forecasting	forecast
foreclosure	foreclose
foregrounding	foreground
foreknowledge	foreknow
foreordination	foreordain
forerunner	forerun
foresaw	foresaw
foresightfulness	foresee
foreshadowing	foreshadow
forestry	forest
forestallment	forestall
foretaste	foretaste
foretelling	foretell
foretoken	foretoken
forewarning	forewarn
forfeiture	forfeit
forging	forge
forgetfulness	forget
forgiveness	forgive	forgiven
forgoing	forgo
forejudgement	forjudge	forejudge
forking	fork
formatting	form	format
formalization	formalise	formalize
formication	formicate
formula	formulaize
formularization	formularise	formularize
formulization	formulate	formulize
fornication	fornicate
forsaking	forsake
forswearing	forswear
forte	fort
fortification	fortify
forwardness	forward
fossilization	fossilise	fossilize
fostering	foster
foulness	foul
foundering	found	founder
fowl	fowl
fox	fox
foxhunt	foxhunt
fractionization	fraction	fractionate	fractionize	fractionise
fracture	fracture
fragging	frag
fragmentation	fragment	fragmentize
framing	frame	frames
franchisement	franchise
frankness	frank
fraternization	fraternize
fray	fray
frazzle	frazzle
freak	freak
freckle	freckle
freeman	free
freelance	freelance
freeloader	freeload
freewheeler	freewheel
freighter	freight
frenchification	frenchify
frenzy	frenzy
frequentation	frequent
fresco	fresco
fretfulness	fret
fricassee	fricassee
frightfulness	fright	frighten
fringe	fringe
frisking	frisk
fritter	fritter
frivolousness	frivol
frizz	frizz
frock	frock
frolicsomeness	frolic
frontage	front
frosting	frost	freeze	freezing
frostbite	frostbite
froth	froth
frown	frown
fructification	fructify
fruitfulness	fruit
frustration	frustrate
frying	fry
ftp	ftp
fucking	fuck
fudge	fudge
fueling	fuel
fulfillment	fulfil	fulfill
fulguration	fulgurate
fullness	full
fullback	fullback
fulmination	fulminate
fumbler	fumble
fumes	fume
fumigation	fumigate
functionalism	function
funding	fund
funk	funk
funnel	funnel
furring	fur
furcation	furcate
furl	furl
furlough	furlough
furnishings	furnish
furrow	furrow
furtherance	further
fusion	fuse
fusillade	fusillade
fuss	fuss
fustigation	fustigate
gasification	gas	gasify
gab	gab
gabble	gabble
gad	gad
gaffer	gaff
gagman	gag
gage	gage
gaggle	gaggle
gainer	gain
gallantry	gall	gallant
gallicization	gallicize
gallicisation	gallicise
gallop	gallop
galvanization	galvanise	galvanize
gambling	gamble
gambol	gambol
gaminess	game
gander	gander
ganges	gang
gangrene	gangrene
gaol	gaol
gap	gap
gape	gape
garage	garage
garb	garb
garble	garble
gardening	garden
gargle	gargle
garland	garland
garment	garment
garner	garner
garnishment	garnish
garotte	garotte
garrison	garrison
garrotter	garrotte
garter	garter
gash	gash
gasp	gasp
gate	gate
gatecrasher	gatecrash
gathering	gather
gauffer	gauffer
gauge	gauge
gawk	gawk
gaze	gaze
gazetteer	gazette
gazump	gazump
gearing	gear
gee	gee
gel	gel
gelatinousness	gelatinise	gelatinize
gelding	geld
gemination	geminate
gemmation	gemmate
generalization	general	generalize
generation	generate
generalisation	generalise
gentleness	gentle
genuflection	genuflect
geologization	geologise	geologize
geometrization	geometrize	geometrise
germination	germinate
germanization	germanise	germanize
gerrymander	gerrymander
gestation	gestate
gesticulation	gesticulate
gesture	gesture
get-together	get-together
getting	get
geyser	geyser
ghost	ghost
ghostwriter	ghostwrite
gibber	gibber
gibbet	gibbet
gibe	gibe
givenness	gift	give
gig	gig
giggle	giggle
gilding	gild
gill	gill
gimbals	gimbal
gin	gin
ginger	ginger
girder	gird
girdle	girdle
girth	girth
glaciation	glaciate
glamorization	glamorize
glamour	glamour
glance	glance
glare	glare
glassful	glass
glazing	glaze
gleaming	gleam
gleaner	glean
gliding	glide
glimmering	glimmer
glimpse	glimpse
glint	glint
glissade	glissade
glisten	glisten
glister	glister
glitter	glitter
gloating	gloat
glorification	glory	glorify
gloss	gloss
gloves	glove
glowing	glow
glower	glower
glue	glue
glut	glut
gluten	glutenize
glutton	gluttonize
glycerine	glycerinate
glycerole	glycerolize
gnarl	gnarl
gnash	gnash
gnawer	gnaw
going	go
goading	goad
gobbler	gobble
goggles	goggle
gold-mining	gold	golden
golfing	golf
gondola	gondola
gong	gong
goof	goof
gosling	goose
goral	gore
gorge	gorge
gormandization	gormandize
gossiping	gossip
gouge	gouge
gourmand	gourmandize
government	govern
gown	gown
grab	grab
gracefulness	grace
gradation	grade	gradate
graduation	graduate
graffiti	graffiti
grafting	graft
granularity	grain
grangerization	grangerize
grangerisation	grangerise
grantor	grant
granulation	granulate
graphitization	graph	graphitise	graphitize
grappling	grapple
grasping	grasp
grass	grass
gratefulness	grate
gratification	gratify
gratulation	gratulate
graveness	grave
gravel	gravel
gravitation	gravitate
grayness	gray
grazing	graze
greasiness	grease
greenness	green
greeting	greet
greyness	grey
griddle	griddle
gridlock	gridlock
grievance	grieve
grilling	grill
grimace	grimace
griminess	grime
grinning	grin
grinding	grind
gripe	grip	gripe
grits	grit
grizzle	grizzle
groan	groan
groin	groin
grooming	groom
grooving	groove
grope	grope
grossness	gross
grouch	grouch
grounding	ground
grouping	group
grouse	grouse
grout	grout
groveller	grovel
growing	grow
growling	growl
grub	grub
grubstake	grubstake
grudge	grudge
grumbling	grumble
grunt	grunt
guarantee	guarantee
guaranty	guaranty
guarding	guard
guessing	guess
guesstimation	guesstimate
guest	guest
guffaw	guffaw
guy	guy
guidance	guide
guillotine	guillotine
gull	gull
gulping	gulp
gumming	gum
gunnery	gun
gurgle	gurgle
gusher	gush
gust	gust
guts	gut
gutter	gutter
gutturalization	gutturalise	gutturalize
guzzling	guzzle
gybe	gybe
gyps	gyp
gyration	gyrate
habilitation	habilitate
habitability	habit	habituate
hacker	hack
hackles	hackle
hackney	hackney
haggling	haggle
hail	hail
hairdressing	hairdress
hallmark	hallmark
halloo	halloo
hallucination	hallucinate
halogenation	halogenate
haltere	halt	halter
hamming	ham
hammering	hammer
hamper	hamper
hamstring	hamstring
handful	hand
handcraft	handcraft
handcuffs	handcuff
handicap	handicap
handling	handle
handstamp	handstamp
handwriting	handwrite
hangman	hang	hanging
hangar	hangar
hankering	hanker
hap	hap
happening	happen
harangue	harangue
harassment	harass
harbinger	harbinger
harbor	harbor
harbour	harbour
hardening	harden
hare	hare
harlequin	harlequin
harmfulness	harm
harmoniousness	harmonize	harmonise
harness	harness
harp	harp
harpooneer	harpoon
harrowment	harrow
harrier	harry
harvestman	harvest
hash	hash
hasp	hasp
hassle	hassle
hastiness	hasten
hatter	hat
hatching	hatch
hatefulness	hate
hauling	haul
haunt	haunt
have	have
haw	haw
hawking	hawk
haying	hay
hazardousness	hazard
haziness	haze
headship	head
headliner	headline
headquarters	headquarter
healing	heal
heaps	heap
hearing	hear
heating	heat
heathenization	heathenize
heaving	heave
hebetation	hebetate
hebraization	hebraise	hebraize
heckling	heckle
hectograph	hectograph
hector	hector
hedging	hedge
hedgehopping	hedgehop
hee-haw	hee-haw
heedfulness	heed
heel	heel
heft	heft
heist	heist
helicopter	helicopter
heliograph	heliograph
hellenization	hellenize
hellenisation	hellenise
helpfulness	help
hem	hem
hemagglutination	hemagglutinate
hemorrhage	hemorrhage
hemstitching	hemstitch
henna	henna
herald	herald
herder	herd
hesitation	hesitate
hewer	hew
hex	hex
hibachi	hibachi
hibernation	hibernate
hiccough	hiccough
hiccup	hiccup
hiding	hide
highness	heighten
highjacking	highjack
highlighting	highlight
hijacking	hijack
hiker	hike
hills	hill
hindrance	hinder
hinge	hinge
hint	hint
hiring	hire
hispanicisation	hispanicise
hispanicization	hispanicize
hissing	hiss
hitting	hit
hitch	hitch
hitchhiker	hitchhike
hives	hive
hoarding	hoard
hoaxer	hoax
hob	hob
hobble	hobble
hobnail	hobnail
hock	hock
hoe	hoe
hog	hog
hoist	hoist
holding	hold
hole	hole
holiday	holiday
hollering	holler
hollo	hollo
hollowness	hollow
holystone	holystone
homage	homage
homer	home	homer
homesteader	homestead
homogeneousness	homogenise	homogenize
homologization	homologate	homologize
honorableness	hone	honor
honey	honey
honeycomb	honeycomb
honeymooner	honeymoon
honker	honk
honourableness	honour
hood	hood
hoodooism	hoodoo
hoofing	hoof
hooker	hook
hoop	hoop
hooter	hoot
hoover	hoover
hops	hop
hopefulness	hope
horn	horn
horrification	horrify
horse	horse
